Name,Gene_ID,GenomeBuild,Chr,Accession,overallMeanByCpGacross50data,CoefficientHannum
cg14541311,4624,36,14,NM_002471.1,0.814195311,NA
cg14541939,4694,36,X,NM_004541.2,0.235706362,NA
cg14541950,128312,36,1,NM_175055.2,0.055765366,NA
cg14542238,10618,36,2,NM_006464.2,0.035663871,NA
cg14542839,25891,36,11,NM_015430.2,0.166382516,NA
cg14543592,4606,36,19,NM_004533.2,0.802255341,NA
cg14544583,3043,36,11,NM_000518.4,0.715355911,NA
cg14545899,54855,36,1,NM_017709.2,0.02700232,NA
cg14546153,164284,36,20,NM_153360.1,0.105957762,NA
cg14547335,491,36,3,NM_001683.2,0.883753766,NA
cg14548264,NA,NA,NA,NA,NA,NA
cg14550007,22955,36,1,NM_012236.1,0.019241072,NA
cg14550066,9437,36,19,NM_004829.3,0.486434326,NA
cg14550101,57657,36,1,NM_020897.1,0.027595174,NA
cg14550518,79750,36,3,NM_024697.1,0.059664984,NA
cg14550570,57470,36,1,NM_020710.1,0.022620272,NA
cg14552982,23404,36,9,NM_014285.4,0.465777576,NA
cg14556189,4088,36,15,NM_005902.3,0.026490232,NA
cg14556618,3482,36,6,NM_000876.1,0.029523709,NA
cg14556683,NA,NA,NA,NA,NA,-4.04
cg14558138,27063,36,10,NM_014391.2,0.743308958,NA
cg14560064,10773,36,9,NM_006626.3,0.050514933,NA
cg14560895,10765,36,1,NM_006618.3,0.070638273,NA
cg14561282,11086,36,4,NM_014269.3,0.715186963,NA
cg14562990,23641,36,X,NM_012317.2,0.272687751,NA
cg14563260,1902,36,9,NM_001401.3,0.083175701,NA
cg14564494,874,36,21,NM_001236.3,0.221442314,NA
cg14566624,387509,36,1,NM_207370.1,0.140762851,NA
cg14567401,284309,36,19,NM_173632.2,0.628608816,NA
cg14568338,3480,36,15,NM_000875.2,0.08400179,NA
cg14569415,29926,36,2,NM_013335.2,0.032259355,NA
cg14570389,57826,36,X,NM_021183.3,0.218820518,NA
cg14571620,91574,36,12,NM_152269.1,0.047487098,NA
cg14572111,9066,36,11,NM_004200.2,0.05036301,NA
cg14572485,51321,36,17,NM_016627.4,0.028769583,NA
cg14576628,3276,36,19,NM_198319.1,0.047229422,NA
cg14576681,9167,36,2,NM_004718.2,0.055820767,NA
cg14576824,26750,36,1,NM_012424.2,0.30322128,NA
cg14577211,121274,36,12,NM_152320.1,0.15048929,NA
cg14578030,2249,36,11,NM_002007.1,0.814758902,NA
cg14579051,1297,36,6,NM_078485.2,0.672627621,NA
cg14580567,64399,36,4,NM_022475.1,0.096160574,NA
cg14580737,8625,36,19,NM_003721.2,0.630632667,NA
cg14580982,245973,36,2,NM_144583.2,0.064612471,NA
cg14585160,392,36,11,NM_004308.2,0.032412945,NA
cg14586939,4887,36,4,NM_000910.2,0.059035391,NA
cg14587868,7051,36,14,NM_000359.1,0.672353008,NA
cg14588638,25807,36,22,NM_012265.1,0.055938786,NA
cg14590817,105,36,10,NM_018702.1,0.047635071,NA
cg14592065,9862,36,17,NM_014815.2,0.52093408,NA
cg14592099,56123,36,5,NM_018933.2,0.132123991,NA
cg14592406,9478,36,12,NM_031205.2,0.017697965,NA
cg14594876,6640,36,20,NM_003098.2,0.074688827,NA
cg14596431,146712,36,17,NM_001009905.1,0.044021872,NA
cg14597908,2778,36,20,NM_000516.3,0.444856455,NA
cg14598387,138883,36,9,NM_012363.1,0.519853116,NA
cg14600040,2239,36,X,NM_001448.2,0.191119531,NA
cg14600885,91977,36,5,NM_133371.2,0.434402008,NA
cg14601284,57125,36,17,NM_020405.3,0.122875286,NA
cg14601560,51540,36,2,NM_016510.3,0.091912612,NA
cg14602164,26269,36,4,NM_012180.2,0.091890314,NA
cg14602578,9994,36,6,NM_012115.2,0.046488821,NA
cg14602658,55254,36,3,NM_018266.1,0.039360857,NA
cg14603345,22903,36,20,NM_181443.1,0.097403406,NA
cg14603406,81603,36,10,NM_030912.1,0.064304133,NA
cg14605021,26281,36,8,NM_019851.1,0.170323332,NA
cg14605134,1945,36,1,NM_005227.2,0.043778726,NA
cg14606768,735,36,5,NM_001737.2,0.824200503,NA
cg14607011,282969,36,10,NM_198472.1,0.827481161,NA
cg14607642,3930,36,1,NM_002296.2,0.604002255,NA
cg14607813,6726,36,1,NM_003133.1,0.076362441,NA
cg14609458,79056,36,11,NM_024081.4,0.039251729,NA
cg14610746,54982,36,15,NM_017882.1,0.097946129,NA
cg14611112,158062,36,9,NM_198946.2,0.55185618,NA
cg14611174,4990,36,14,NM_007374.1,0.071902604,NA
cg14613546,54796,36,9,NM_017637.4,0.752887399,NA
cg14613832,1592,36,10,NM_057157.1,0.034982235,NA
cg14613972,83734,36,5,NM_031482.3,0.183263265,NA
cg14614211,283078,36,10,NM_173576.1,0.135483014,NA
cg14614901,401498,36,9,NM_212558.1,0.075837583,NA
cg14615807,7809,36,1,NM_057176.2,0.821444907,NA
cg14616651,4694,36,X,NM_004541.2,0.597685115,NA
cg14617642,55506,36,10,NM_018649.1,0.038409701,NA
cg14618681,1869,36,20,NM_005225.1,0.025841743,NA
cg14620221,26493,36,11,NM_012378.1,0.684565531,NA
cg14623313,10513,36,17,NM_006380.2,0.071676394,NA
cg14623518,10458,36,17,NM_006340.1,0.048096993,NA
cg14623805,55749,36,10,NM_018237.2,0.051079101,NA
cg14625604,7319,36,X,NM_181762.1,0.261346301,NA
cg14631703,27335,36,19,NM_013234.1,0.076592861,NA
cg14633527,51246,36,3,NM_016479.3,0.060908174,NA
cg14633704,3293,36,9,NM_000197.1,0.862359005,NA
cg14634319,11176,36,12,NM_013449.2,0.043116461,NA
cg14634336,5980,36,6,NM_002912.1,0.078776687,NA
cg14634738,10181,36,3,NM_005778.1,0.15001835,NA
cg14636377,121268,36,12,NM_144593.1,0.033448423,NA
cg14640481,25798,36,7,NM_015379.3,0.02756009,NA
cg14640682,2997,36,19,NM_002103.3,0.027186515,NA
cg14642338,25891,36,11,NM_015430.2,0.601939926,NA
cg14642832,27316,36,X,NM_002139.2,0.256165709,NA
cg14643520,483,36,3,NM_001679.2,0.036169064,NA
cg14643978,117531,36,9,NM_138691.2,0.875848287,NA
cg14645085,10048,36,6,NM_005493.2,0.088442931,NA
cg14645481,3094,36,5,NM_005340.3,0.08397365,NA
cg14645650,864,36,1,NT_004610.18,0.925475194,NA
cg14645972,401232,36,6,NM_207495.2,0.086355182,NA
cg14646244,5172,36,7,NM_000441.1,0.461730266,NA
cg14647515,26148,36,10,NM_015652.2,0.874732446,NA
cg14651992,11257,36,7,NM_007233.1,0.036778972,NA
cg14652095,3024,36,6,NM_005325.2,0.478559593,NA
cg14654385,83706,36,11,NM_031471.4,0.66108504,NA
cg14654731,132332,36,4,NM_152399.1,0.676918049,NA
cg14654875,146434,36,16,NM_152457.1,0.431582734,NA
cg14654926,2255,36,5,NM_004465.1,0.095371638,NA
cg14657159,84324,36,12,NM_033082.1,0.053789101,NA
cg14658285,113179,36,19,NM_138422.1,0.02891432,NA
cg14658362,11030,36,8,NM_006867.2,0.043111027,NA
cg14658900,54925,36,16,NM_017810.2,0.027542108,NA
cg14659404,460,36,1,NM_207108.1,0.127160257,NA
cg14659547,84666,36,3,NM_032579.1,0.758454968,NA
cg14662172,1361,36,13,NM_016413.2,0.77462211,NA
cg14662379,547,36,2,NM_004321.4,0.101477259,NA
cg14662756,8620,36,12,NM_003717.1,0.817431379,NA
cg14663065,1499,36,3,NM_001904.2,0.039461088,NA
cg14663792,50854,36,6,NM_016947.1,0.036145237,NA
cg14665389,6934,36,10,NM_030756.1,0.054806897,NA
cg14666892,578,36,6,NM_001188.2,0.033293737,NA
cg14667033,23670,36,9,NM_013390.1,0.048188317,NA
cg14667273,64856,36,1,NM_022834.3,0.192886038,NA
cg14671453,6810,36,16,NM_004604.3,0.030597447,NA
cg14671488,7525,36,18,NM_005433.3,0.130924078,NA
cg14672622,51374,36,2,NM_016085.3,0.044662641,NA
cg14672680,7136,36,11,NM_003282.2,0.88294997,NA
cg14672994,80221,36,17,NM_025149.3,0.133001554,NA
cg14674582,10761,36,X,NM_021796.3,0.596556092,NA
cg14676817,79647,36,1,NM_024595.1,0.037830929,NA
cg14679202,83746,36,22,NM_031488.4,0.383331236,NA
cg14679230,3991,36,19,NM_005357.2,0.673911311,NA
cg14679587,27165,36,12,NM_013267.2,0.062919964,NA
cg14681055,5309,36,10,NM_005029.3,0.058165619,NA
cg14681629,153684,36,5,XR_001522.1,0.129965209,NA
cg14681767,9639,36,8,NM_014629.2,0.057490592,NA
cg14683036,326625,36,12,NM_052845.2,0.072246709,NA
cg14685339,2954,36,14,NM_001513.2,0.046133681,NA
cg14686321,153830,36,5,NM_144726.1,0.067151436,NA
cg14688272,79672,36,17,NM_024619.2,0.347325702,NA
cg14688956,5063,36,X,NM_002578.2,0.151100955,NA
cg14689355,92,36,2,NM_001616.3,0.05211517,NA
cg14692377,NA,NA,NA,NA,NA,19.1
cg14693893,1778,36,14,NM_001376.2,0.050002044,NA
cg14694011,1588,36,15,NM_000103.2,0.820948969,NA
cg14694232,7726,36,6,NM_003449.3,0.036342808,NA
cg14694952,3064,36,4,NM_002111.5,0.02791698,NA
cg14695751,65061,36,2,NM_139158.1,0.473071115,NA
cg14696348,4157,36,16,NM_002386.2,0.060935354,NA
cg14696396,53346,36,15,NM_023003.1,0.071555024,NA
cg14696820,353131,36,1,NM_178348.1,0.598737394,NA
cg14696870,2205,36,1,NM_002001.2,0.778249528,NA
cg14698961,129285,36,2,NM_152994.2,0.04213737,NA
cg14700577,22937,36,3,NM_012235.2,0.060367627,NA
cg14700707,4855,36,6,NM_004557.3,0.360216127,NA
cg14700821,11174,36,5,NM_197941.2,0.060546299,NA
cg14701410,9498,36,12,NM_004858.1,0.022350717,NA
cg14701962,284680,36,1,NM_182581.1,0.779273967,NA
cg14702264,55069,36,7,NM_017994.3,0.073940026,NA
cg14704941,8048,36,11,NM_003476.2,0.867036077,NA
cg14705927,5033,36,10,NM_000917.2,0.090550094,NA
cg14706178,136332,36,7,NM_144648.1,0.030186564,NA
cg14706739,2039,36,8,NM_001978.1,0.776058973,NA
cg14707431,158427,36,9,NM_139246.3,0.044645584,NA
cg14708847,5063,36,X,NM_002578.2,0.070665552,NA
cg14709481,3101,36,5,NM_002115.1,0.72508735,NA
cg14709524,22980,36,16,NM_014972.1,0.085536565,NA
cg14710524,78994,36,16,NM_024031.2,0.030155987,NA
cg14711016,64428,36,16,NM_022493.1,0.06076677,NA
cg14711201,6502,36,5,NM_032637.2,0.047192867,NA
cg14711709,25880,36,16,NM_015421.1,0.035118241,NA
cg14711869,NA,NA,NA,NA,NA,NA
cg14712964,7862,36,3,NM_001003694.1,0.063098758,NA
cg14714578,145173,36,13,NM_194318.2,0.019066914,NA
cg14717170,22865,36,3,NM_014926.2,0.098627343,NA
cg14717946,5929,36,1,NM_005057.2,0.133091117,NA
cg14718680,5226,36,1,NM_002631.2,0.045213661,NA
cg14719055,5931,36,X,NM_002893.2,0.380961837,NA
cg14719352,2523,36,19,NM_000148.2,0.745168935,NA
cg14721213,2327,36,1,NM_001460.2,0.608232041,NA
cg14722162,140947,36,5,NM_130848.1,0.790402186,NA
cg14723014,9205,36,13,NM_014242.1,0.054889671,NA
cg14723032,83394,36,17,NM_031220.1,0.71419536,NA
cg14723799,55172,36,14,NM_018139.1,0.034508754,NA
cg14724265,5470,36,4,NM_152933.1,0.725361921,NA
cg14724364,3767,36,11,NM_000525.3,0.054298095,NA
cg14724613,2913,36,7,NM_000840.2,0.068615946,NA
cg14726525,27257,36,8,NM_014462.1,0.05764539,NA
cg14726637,1378,36,1,NM_000573.2,0.201572439,NA
cg14727512,23617,36,22,NM_053006.3,0.798771673,NA
cg14727952,329,36,11,NM_001166.3,0.071579007,NA
cg14729071,5885,36,8,NM_006265.1,0.050666205,NA
cg14732136,3838,36,17,NM_002266.2,0.037742123,NA
cg14732540,676,36,1,NM_001726.2,0.661817005,NA
cg14733672,3162,36,22,NM_002133.1,0.033739744,NA
cg14736210,3745,36,20,NM_004975.2,0.870379065,NA
cg14736911,51778,36,4,NM_016599.2,0.530768565,NA
cg14737613,8498,36,19,NM_003624.1,0.086591299,NA
cg14737977,3675,36,17,NM_002204.1,0.083076649,NA
cg14738823,121506,36,12,NM_152321.1,0.696342173,NA
cg14740251,8778,36,19,NM_003830.1,0.609493293,NA
cg14741666,9326,36,17,NM_004773.2,0.035837384,NA
cg14741922,4250,36,11,NM_002411.1,0.81539353,NA
cg14743462,92815,36,1,NM_033445.2,0.03115838,NA
cg14743649,2491,36,X,NM_006733.2,0.264330363,NA
cg14747072,246329,36,12,NM_145064.1,0.839467869,NA
cg14747225,51728,36,16,NM_016310.2,0.104392843,NA
cg14749678,NA,NA,NA,NA,NA,NA
cg14750190,51204,36,17,NM_016360.2,0.043971611,NA
cg14751914,4092,36,18,NM_005904.2,0.125355112,NA
cg14753432,60529,36,11,NT_009237.17,0.418297737,NA
cg14754581,9034,36,3,NM_003965.4,0.276121019,NA
cg14755009,114609,36,11,NM_052887.2,0.037287221,NA
cg14755341,6792,36,X,NM_003159.1,0.169388964,NA
cg14755852,51312,36,8,NM_016612.1,0.125002163,NA
cg14757296,3373,36,3,NM_007312.3,0.849042277,NA
cg14757492,54555,36,19,NM_019070.3,0.754519846,NA
cg14758413,22907,36,3,NM_014966.2,0.043682901,NA
cg14758526,838,36,11,NM_004347.1,0.839437497,NA
cg14759043,84766,36,12,NM_032680.2,0.247098253,NA
cg14760714,27079,36,15,NM_152260.1,0.101897779,NA
cg14761227,1357,36,7,NM_001868.1,0.81358072,NA
cg14764661,9902,36,17,NM_006039.2,0.081008028,NA
cg14766198,8556,36,1,NM_003672.2,0.044202663,NA
cg14766682,90060,36,X,NM_033626.2,0.584660968,NA
cg14767877,5660,36,10,NM_002778.1,0.02242283,NA
cg14769265,5130,36,3,NM_005017.2,0.099208005,NA
cg14772955,79932,36,1,NM_182686.1,0.585327419,NA
cg14773259,116461,36,1,NM_052965.1,0.03248186,NA
cg14773282,51291,36,19,NM_016573.1,0.036805684,NA
cg14774175,4114,36,X,NM_002365.3,0.757934716,NA
cg14775560,2346,36,11,NM_004476.1,0.154644995,NA
cg14776416,9833,36,9,NM_014791.2,0.041977072,NA
cg14776962,8345,36,6,NM_003524.2,0.114534237,NA
cg14777972,10640,36,14,NM_006544.2,0.111091619,NA
cg14780914,10621,36,20,NM_006466.2,0.058824718,NA
cg14781919,83903,36,17,NM_031965.2,0.023298832,NA
cg14782678,284114,36,17,NM_178518.2,0.517054915,NA
cg14784348,3054,36,X,NM_005334.1,0.767542297,NA
cg14784653,222389,36,10,NM_152751.1,0.792893991,NA
cg14784788,995,36,5,NM_022809.1,0.036137578,NA
cg14785449,440,36,7,NM_001673.2,0.044147676,NA
cg14785479,91179,36,22,NM_182895.1,0.084276433,NA
cg14787704,140890,36,5,NM_139168.1,0.56491534,NA
cg14789259,151354,36,2,NM_145175.1,0.180627994,NA
cg14789590,254240,36,22,NM_174932.1,0.847393041,NA
cg14789804,10956,36,12,NM_006812.2,0.045211378,NA
cg14789928,9978,36,22,NM_014248.2,0.081985849,NA
cg14791831,112869,36,16,NM_138414.1,0.019944346,NA
cg14792155,123745,36,15,NM_198442.1,0.879055024,NA
cg14792480,1014,36,16,NM_004062.2,0.381583399,NA
cg14795305,6604,36,7,NM_001003801.1,0.051268802,NA
cg14795968,33,36,2,NM_001608.2,0.072019333,NA
cg14796007,9179,36,7,NM_004722.2,0.043076613,NA
cg14797438,9989,36,18,NM_005134.1,0.064751261,NA
cg14797887,55329,36,15,NM_018365.1,0.029163634,NA
cg14799446,29888,36,19,NM_013403.1,0.592531995,NA
cg14800883,10093,36,3,NM_005718.3,0.138779777,NA
cg14801726,6730,36,17,NM_014230.2,0.073104824,NA
cg14802310,7846,36,12,NM_006009.2,0.211830742,NA
cg14802951,11093,36,9,NM_139025.2,0.6092929,NA
cg14804557,2003,36,14,,0.873267109,NA
cg14807303,367,36,X,NM_000044.2,0.582105787,NA
cg14808739,6720,36,17,NM_004176.3,0.754432638,NA
cg14809191,94234,36,6,NM_033260.2,0.069684357,NA
cg14812492,160851,36,13,NM_152910.3,0.06011156,NA
cg14813083,160287,36,11,NM_144972.3,0.558795718,NA
cg14813406,8556,36,1,NM_003672.2,0.042027546,NA
cg14815778,92002,36,X,NM_152274.2,0.216707383,NA
cg14816013,79035,36,12,NM_024068.2,0.042316937,NA
cg14816748,5635,36,17,NM_002766.1,0.039539723,NA
cg14817143,7274,36,8,NM_000370.2,0.056730413,NA
cg14817542,55662,36,10,NM_017902.1,0.045560077,NA
cg14817848,80824,36,12,NM_030640.1,0.065277304,NA
cg14818279,79628,36,5,NM_024577.2,0.757961578,NA
cg14820573,79622,36,16,NM_024571.2,0.894810399,NA
cg14820798,79970,36,7,NM_024910.1,0.079493362,NA
cg14821083,22928,36,16,NM_012248.2,0.055450531,NA
cg14822966,7884,36,4,NM_006527.2,0.081555846,NA
cg14823109,55653,36,20,NM_001010974.1,0.043621978,NA
cg14823162,5454,36,6,NM_005604.2,0.054247347,NA
cg14824983,7869,36,3,NM_004636.2,0.813213324,NA
cg14826456,153,36,10,NM_000684.1,0.191302903,NA
cg14826683,6703,36,1,NM_006945.3,0.678359308,NA
cg14828965,9810,36,16,NM_014771.2,0.060400258,NA
cg14829378,2683,36,9,NM_001497.2,0.029332415,NA
cg14830952,1875,36,8,NM_001951.2,0.02450291,NA
cg14831798,9425,36,6,NM_004824.2,0.891279072,NA
cg14831838,8941,36,2,NM_003936.3,0.047312347,NA
cg14832358,55133,36,2,NM_018079.3,0.047001386,NA
cg14832904,10936,36,2,NM_006794.1,0.608630372,NA
cg14833160,581,36,19,NM_004324.3,0.087599376,NA
cg14833385,3108,36,6,NM_006120.2,0.078375644,NA
cg14834436,4331,36,14,NM_002431.2,0.133791404,NA
cg14835962,80764,36,22,NM_030573.2,0.039845346,NA
cg14837082,3269,36,3,NM_000861.2,0.70900026,NA
cg14837165,113189,36,15,NM_130468.2,0.081322728,NA
cg14837411,5889,36,17,NM_002876.2,0.029751031,NA
cg14838256,79644,36,4,NM_024592.1,0.035967213,NA
cg14839257,6196,36,6,NM_001006932.1,0.03334233,NA
cg14839898,6392,36,11,NM_003002.1,0.780215338,NA
cg14839932,6722,36,6,NM_003131.2,0.092362348,NA
cg14840416,678,36,2,NM_006887.3,0.060745252,NA
cg14841098,84679,36,X,NM_032591.1,0.247188428,NA
cg14841875,476,36,1,NM_000701.6,0.072408343,NA
cg14844130,7441,36,22,NM_007128.2,0.220097287,NA
cg14845091,113622,36,13,NM_199162.1,0.690061506,NA
cg14846293,8313,36,17,NM_004655.2,0.040681548,NA
cg14847483,51234,36,15,NM_016454.2,0.318403451,NA
cg14847688,64582,36,14,NM_022571.4,0.031133646,NA
cg14849423,5178,36,19,NM_006210.1,0.611167291,NA
cg14849559,64114,36,2,NM_022152.4,0.047458353,NA
cg14850026,54596,36,1,NM_019079.2,0.697458134,NA
cg14850181,4357,36,22,NM_001013436.1,0.025447001,NA
cg14851685,126410,36,19,NM_173483.1,0.665817007,NA
cg14853515,23658,36,7,NM_012322.1,0.033200901,NA
cg14854487,3920,36,X,NM_002294.1,0.218016726,NA
cg14858551,7692,36,20,NM_003434.3,0.073975795,NA
cg14859074,9076,36,3,NM_021101.3,0.031057651,NA
cg14859417,5791,36,10,NM_130435.2,0.313437327,NA
cg14859460,2916,36,5,NM_000843.2,0.125317094,NA
cg14859749,10291,36,22,NM_005877.4,0.019943239,NA
cg14860494,2730,36,1,NM_002061.2,0.077036774,NA
cg14861570,23531,36,17,NM_012329.2,0.289201064,NA
cg14862827,64420,36,9,NM_022486.3,0.237076139,NA
cg14863484,2806,36,16,NM_002080.2,0.053530722,NA
cg14864603,15,36,17,NM_001088.1,0.841973951,NA
cg14865516,10605,36,5,NM_182789.2,0.057070045,NA
cg14865868,28951,36,2,NM_021643.1,0.207698169,NA
cg14869028,64129,36,1,NM_022164.1,0.144294445,NA
cg14870271,3959,36,17,NM_005567.2,0.288162637,NA
cg14870461,285203,36,3,NM_173654.1,0.096360934,NA
cg14871138,4923,36,20,NM_002531.1,0.67892609,NA
cg14871544,1830,36,18,NM_001944.1,0.350288568,NA
cg14871856,2961,36,8,NM_002095.3,0.026655644,NA
cg14872956,121457,36,12,NM_201613.1,0.036255767,NA
cg14873135,6897,36,5,NM_152295.3,0.055793688,NA
cg14874121,3295,36,5,NM_000414.1,0.029071849,NA
cg14876043,199713,36,19,NM_139176.2,0.852127211,NA
cg14879013,56986,36,15,NM_020234.3,0.061319312,NA
cg14880655,84557,36,20,NM_181509.1,0.808168172,NA
cg14880800,1767,36,5,NM_001369.1,0.780022742,NA
cg14882700,133060,36,4,NM_177998.1,0.195864725,NA
cg14883392,429,36,12,NM_004316.2,0.160624356,NA
cg14884741,81706,36,6,NM_030949.1,0.06367563,NA
cg14885742,10410,36,11,NM_021034.1,0.298439659,NA
cg14886269,8784,36,1,NM_004195.2,0.096812819,NA
cg14887509,10163,36,1,NM_006990.2,0.034007061,NA
cg14889768,10981,36,6,NM_006834.2,0.064569442,NA
cg14892037,29934,36,X,NM_013346.2,0.184868985,NA
cg14892066,1635,36,4,NM_001921.2,0.060937703,NA
cg14892768,558,36,19,NM_021913.2,0.242997961,NA
cg14893129,79092,36,17,NM_024110.2,0.879390463,NA
cg14893161,148811,36,1,NM_152491.3,0.445768274,NA
cg14893163,27253,36,13,NM_014459.2,0.066693841,NA
cg14894144,3909,36,18,NM_000227.2,0.350387296,NA
cg14894216,117144,36,11,NM_053054.2,0.647972108,NA
cg14896003,8045,36,11,NM_003475.2,0.875620834,NA
cg14896516,1395,36,7,NM_001883.2,0.045023508,NA
cg14897096,5091,36,11,NM_022172.1,0.835830146,NA
cg14898639,25781,36,20,NM_152257.1,0.851737527,NA
cg14898779,56164,36,7,NM_031414.2,0.821262165,NA
cg14898892,57619,36,4,NM_020859.1,0.581387882,NA
cg14899547,150468,36,2,NM_152515.2,0.02837689,NA
cg14900471,2626,36,8,NT_077531.3,0.050149887,NA
cg14902389,11320,36,2,NM_012214.1,0.716577926,NA
cg14903309,6895,36,12,NM_004178.3,0.037175013,NA
cg14904464,4753,36,12,NM_006159.1,0.043534723,NA
cg14908548,9794,36,5,NM_014757.3,0.041938223,NA
cg14910241,7048,36,3,NM_003242.4,0.030866626,NA
cg14911395,7869,36,3,NT_022517.17,0.421389632,NA
cg14911472,9439,36,6,NM_015979.2,0.049999114,NA
cg14912034,119180,36,10,NM_183058.2,0.663367263,NA
cg14912575,56936,36,14,NM_020181.1,0.625016412,NA
cg14913610,10219,36,12,NM_005810.3,0.585806497,NA
cg14913925,221786,36,7,NM_145111.2,0.077712374,NA
cg14914852,124626,36,17,NM_198844.1,0.707736593,NA
cg14914982,894,36,12,NM_001759.2,0.055806862,NA
cg14915165,10885,36,1,NM_006784.1,0.043666176,NA
cg14915263,5770,36,20,NM_002827.2,0.021680308,NA
cg14916079,340719,36,10,NM_199461.2,0.246683424,NA
cg14916200,23119,36,22,NM_015094.1,0.021534809,NA
cg14916213,5936,36,11,NM_002896.1,0.035135843,NA
cg14916288,6368,36,17,NM_005064.3,0.370854976,NA
cg14917512,2767,36,19,NM_002067.1,0.142689946,NA
cg14918082,9196,36,17,NM_004732.2,0.493763707,NA
cg14919562,5887,36,9,NM_002874.3,0.037361713,NA
cg14920334,26290,36,12,NM_017417.1,0.498161903,NA
cg14920426,9260,36,5,NM_005451.3,0.061253633,NA
cg14920846,89796,36,1,NM_020443.2,0.347084538,NA
cg14923435,57669,36,2,NM_020909.2,0.066442379,NA
cg14924091,113189,36,15,NM_130468.2,0.030563807,NA
cg14924278,10579,36,10,NM_006997.2,0.713126132,NA
cg14925024,79169,36,1,NM_024319.2,0.61125319,NA
cg14927277,81930,36,11,NM_031217.2,0.056004726,NA
cg14930396,51639,36,2,NM_016047.3,0.04098857,NA
cg14930674,6557,36,15,NM_000338.1,0.846503459,NA
cg14930706,147945,36,19,NM_134444.3,0.888495384,NA
cg14931645,79894,36,1,NM_024836.1,0.045217315,NA
cg14932645,57835,36,2,NM_021196.2,0.79175886,NA
cg14932684,10138,36,12,NM_005748.3,0.063113406,NA
cg14934766,1058,36,2,NM_001809.2,0.039587023,NA
cg14934821,26086,36,9,NM_015597.2,0.775647481,NA
cg14939652,64067,36,14,NM_022123.1,0.047706706,NA
cg14939691,7086,36,3,NM_001064.1,0.063168377,NA
cg14940420,389123,36,3,NM_203424.1,0.750616328,NA
cg14942312,139760,36,X,NM_178471.1,0.714213982,NA
cg14944269,376267,36,14,NM_198686.1,0.329023492,NA
cg14944362,5173,36,20,NM_024411.2,0.362115003,NA
cg14946299,10793,36,7,NM_021148.1,0.077523593,NA
cg14947494,51660,36,6,NM_016098.1,0.041394666,NA
cg14948436,83795,36,6,NM_032115.2,0.869724525,NA
cg14948822,4358,36,2,NM_002437.3,0.785866868,NA
cg14949649,83892,36,12,NM_031954.3,0.068976783,NA
cg14950072,284217,36,18,NM_005559.2,0.096613235,NA
cg14951292,3163,36,16,NM_002134.2,0.508850127,NA
cg14951734,151195,36,2,NM_152523.1,0.031316814,NA
cg14957086,1466,36,12,NM_001321.1,0.069190127,NA
cg14958018,157848,36,8,NM_152568.1,0.812098133,NA
cg14958635,4762,36,5,NT_034772.5,0.175956975,NA
cg14958889,387509,36,1,NM_207370.1,0.044211373,NA
cg14959707,29066,36,16,NM_014153.2,0.793525569,NA
cg14960043,50619,36,6,NM_022047.2,0.197435466,NA
cg14961385,6676,36,20,NM_003116.1,0.063005379,NA
cg14961550,4172,36,6,NM_002388.3,0.062654817,NA
cg14962548,10190,36,2,NM_005783.3,0.031003894,NA
cg14962776,6399,36,X,NM_014563.3,0.091911265,NA
cg14963371,2827,36,1,NM_005281.2,0.166197431,NA
cg14963897,9054,36,20,NM_181679.1,0.893606603,NA
cg14964658,5824,36,1,NM_002857.2,0.041603432,NA
cg14966252,90441,36,5,NM_033414.2,0.066674338,NA
cg14967066,8519,36,11,NM_003641.2,0.262380799,NA
cg14967972,53354,36,10,NM_138316.2,0.10675783,NA
cg14969094,NA,NA,NA,NA,NA,NA
cg14971781,64746,36,1,NM_022735.3,0.04802933,NA
cg14972143,1977,36,4,NM_001968.2,0.158900221,NA
cg14972271,824,36,1,NM_001748.3,0.391590563,NA
cg14973995,10227,36,4,NM_001120.2,0.242149693,NA
cg14974772,10516,36,14,NM_006329.2,0.160306197,NA
cg14975238,168620,36,7,NM_177455.2,0.860135829,NA
cg14976276,4758,36,6,NM_000434.2,0.053882738,NA
cg14981132,3178,36,12,NM_031157.1,0.08270808,NA
cg14982472,9619,36,21,NM_016818.2,0.276444692,NA
cg14984307,97,36,14,NM_001107.3,0.052939144,NA
cg14984920,54205,36,7,NM_018947.4,0.078385148,NA
cg14986136,51186,36,X,NM_001006612.1,0.170464984,NA
cg14986420,286451,36,X,NM_173834.2,0.184638621,NA
cg14987922,6801,36,2,NM_003162.2,0.038812836,NA
cg14988503,8999,36,4,NM_003948.2,0.037148412,NA
cg14989191,253982,36,16,NM_181718.3,0.087554759,NA
cg14990333,7638,36,19,NM_013359.1,0.075292535,NA
cg14991487,3235,36,2,NM_014213.2,0.094721989,NA
cg14992108,6641,36,8,NM_021021.2,0.767625813,NA
cg14992253,56063,36,1,NM_019118.2,0.070803518,NA
cg14993293,1070,36,5,NM_004365.2,0.071786739,NA
cg14996805,6827,36,17,NM_003168.1,0.043978541,NA
cg14998713,2113,36,11,NM_005238.2,0.04704161,NA
cg15001372,2645,36,7,NM_000162.2,0.804811341,NA
cg15001381,8312,36,16,NM_181050.1,0.172229096,NA
cg15002187,84255,36,7,NM_032295.2,0.059219965,NA
cg15002204,55166,36,6,NM_018132.3,0.153391393,NA
